lat0,lon0,tmin_C__delta_after_minus_before,tmax_C__delta_after_minus_before,vpd__delta_after_minus_before,duration__delta_after_minus_before,intensity__delta_after_minus_before,frequency__delta_after_minus_before
-19,32.75,0.366319533,0.721138697,0.075760112,0.191876751,0.149816587,0.056666667
-19,33,0.281179255,0.773564412,0.083965718,0.114035088,0.067545958,0.113333333
-19,33.5,0.390608087,0.60298633,0.088450585,0.802139037,0.135012761,0.046666667
-19,45.25,0.460029549,0.98415201,0.142509484,0.340517241,0.101936762,0.29
-19,45.5,0.493393199,1.045492101,0.105648674,0.092592593,0.058422347,0.286666667
-19,47.75,0.428509006,1.211967455,0.075489254,0.333333333,0.070124126,0.056666667
-18.75,31.75,0.429063709,0.445386839,0.059440938,1.041666667,0.020937485,0.05
-18.75,32,0.356317324,0.510958578,0.065597903,0.168845316,0.036519416,0.106666667
-18.75,32.5,0.383589156,0.592120731,0.062382167,0.422268908,0.103148325,0.093333333
-18.75,44.5,0.566682536,0.951313082,0.107495301,0.235714286,0.08331015,0.426666667
-18.75,45.25,0.482332126,0.908511531,0.13223529,0.582111437,0.057312314,0.32
-18.75,47.75,0.45393042,1.14917124,0.078661575,0.3,0.031961326,0.106666667
-18.5,32.25,0.300263781,0.5956023,0.074075789,0.169254658,0.073786194,0.046666667
-18.5,32.5,0.325688581,0.535595013,0.055271688,0.268518519,0.091906524,0.063333333
-18.5,32.75,0.481192994,0.684186983,0.072565257,0.407407407,0.018409747,0.096666667
-18.5,33.25,0.429651397,0.874021859,0.109115605,0.363636364,0.114393519,0.153333333
-18.5,45,0.625730321,0.978609239,0.13345873,0.059561129,0.137232382,0.246666667
-18.5,45.25,0.565888267,0.929137599,0.131339685,0.311827957,0.02772107,0.323333333
-18.25,32.25,0.231031252,0.651364781,0.089555539,0.233333333,0.028953213,0.043333333
-18.25,32.5,0.322295905,0.487230038,0.058660365,0.564210526,0.06351983,0.02
-18.25,32.75,0.292953452,0.611997322,0.055568401,0.482352941,0.059390206,0.023333333
-18.25,35,0.574444854,1.101860542,0.137724288,0.178571429,0.102347323,0.003333333
-18.25,44.75,0.720430112,1.105810973,0.107981892,0.238888889,0.075867274,0.3
-18.25,45.25,0.606629356,0.921452768,0.104764478,0.134615385,0.024356171,0.223333333
-18.25,46.25,0.592537818,1.033598681,0.104035826,0.087179487,0.000688061,0.116666667
-18.25,48.5,0.399175329,0.935935036,0.052476232,0.778985507,0.239355278,0.083333333
-18,32.75,0.355013893,0.733116345,0.078737744,0.022727273,0.073526411,0.073333333
-18,34.75,0.577238772,1.230969063,0.157629455,0.382575758,0.080366426,0.123333333
-18,35,0.554147907,1.118016472,0.14469762,0.619047619,0.043814506,0.033333333
-18,35.75,0.595052457,1.326440833,0.145118317,0.5725,0.019299488,0.02
-18,44.75,0.772609876,1.084903849,0.113737922,0.428947368,0.09278087,0.106666667
-17.75,35,0.579557566,1.188732573,0.165960307,0.976190476,0.000695515,0.006666667
-17.5,26,0.416055337,0.658194028,0.159026555,0.275362319,0.015387878,0.133333333
-17.25,46,0.603583194,0.694242389,0.119765861,0.085897436,0.101981401,0.083333333
